#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Dec 17 17:40:49 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AllComps_map.ncd
#OUTPUT FILE:      AllComps_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,SW4_P58,IOB,IO_L14P_D11_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P59,SW3_P59,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,SW2_P61,IOB,IO_L12N_D2_MISO3_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P62,SW1_P62,IOB,IO_L12P_D1_MISO2_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P63,,,VCCO_2,,,2,,,,,2.50,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,SW0_P66,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P67,LED_Alarm_GR_P67,IOB,IO_L2P_CMPCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P76,,,VCCO_1,,,1,,,,,2.50,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,,IOBM,IO_L47P_1,UNUSED,,1,,,,,,,,,
P80,,IOBS,IO_L46N_1,UNUSED,,1,,,,,,,,,
P81,,IOBM,IO_L46P_1,UNUSED,,1,,,,,,,,,
P82,LED_Alarm_Status_P82,IOB,IO_L45N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,BUZZER_P83,IOB,IO_L45P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P84,,IOBS,IO_L43N_GCLK4_1,UNUSED,,1,,,,,,,,,
P85,,IOBM,IO_L43P_GCLK5_1,UNUSED,,1,,,,,,,,,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,,IOBS,IO_L42N_GCLK6_TRDY1_1,UNUSED,,1,,,,,,,,,
P88,,IOBM,IO_L42P_GCLK7_1,UNUSED,,1,,,,,,,,,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,,IOBS,IO_L41N_GCLK8_1,UNUSED,,1,,,,,,,,,
P93,,IOBM,IO_L41P_GCLK9_IRDY1_1,UNUSED,,1,,,,,,,,,
P94,,IOBS,IO_L40N_GCLK10_1,UNUSED,,1,,,,,,,,,
P95,,IOBM,IO_L40P_GCLK11_1,UNUSED,,1,,,,,,,,,
P96,,,GND,,,,,,,,,,,,
P97,,IOBS,IO_L34N_1,UNUSED,,1,,,,,,,,,
P98,,IOBM,IO_L34P_1,UNUSED,,1,,,,,,,,,
P99,LDR_SS_K6_15_P99,IOB,IO_L33N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P100,,IOBM,IO_L33P_1,UNUSED,,1,,,,,,,,,
P101,,IOBS,IO_L32N_1,UNUSED,,1,,,,,,,,,
P102,IR5_K6_9_P102,IOB,IO_L32P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,2.50,,,,
P104,IR3_K6_7_P104,IOB,IO_L1N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P105,IR4_K6_5_P105,IOB,IO_L1P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,IR1_K6_3_P111,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P112,IR2_K6_1_P112,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,ESP8_K5_15_P114,IOB,IO_L65N_SCP2_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P115,ESP7_K5_13_P115,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P116,ESP6_K5_11_P116,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P117,ESP5_K5_9_P117,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P118,ESP4_K5_7_P118,IOB,IO_L63N_SCP6_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P119,ESP3_K5_5_P119,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P120,ESP2_K5_3_P120,IOB,IO_L62N_VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P121,ESP1_K5_1_P121,IOB,IO_L62P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,2.50,,,,
P123,CLK_IN_P123,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P124,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
P125,,,VCCO_0,,,0,,,,,2.50,,,,
P126,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
P127,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
P132,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
P133,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
P134,BD1_4_K3_9_P134,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,2.50,,,,
P136,,,GND,,,,,,,,,,,,
P137,BD2_4_K4_9_P137,IOB,IO_L4N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P138,BD1_3__K3_7_P138,IOB,IO_L4P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P139,BD2_3_K4_7_P139,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P140,BD1_2_K3_5_P140,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P141,BD2_2_K4_5_P141,IOB,IO_L2N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P142,BD1_1_K3_3_P142,IOB,IO_L2P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P143,BD2_1_K4_3_P143,IOB,IO_L1N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
